slug,name,aliases,match_status,match_method,legacy_id,legacy_code,legacy_name,legacy_lines,sarthi_id,sarthi_code,sarthi_name,sarthi_commercial_name,sarthi_search_key,sarthi_lines,latitude,longitude
greater-kailash,GREATER KAILASH,,matched,code,150,GKEI,GREATER KAILASH,LN8,639ac2e6e264aca1c1ecdff4,GKEI,GREATER KAILASH,Muthoot Finance Greater Kailash,GREATER KAILASH,LN8,28.5430994,77.2410711
green-park,GREEN PARK,,matched,code,35,GNPK,GREEN PARK,LN2,639ac2e6e264aca1c1ecdff5,GNPK,GREEN PARK,INDIAN OIL GREEN PARK,GREEN PARK,LN2,28.5598,77.2068
guru-dronacharya,GURU DRONACHARYA,,matched,code,43,GE,GURU DRONACHARYA,LN2,639ac2e6e264aca1c1ecdff7,GE,GURU DRONACHARYA,INDIGO GURU DRONACHARYA,GURU DRONACHARYA,LN2,28.4819,77.1023
guru-teg-bahadur-nagar,GURU TEG BAHADUR NAGAR,,matched,code,55,GTBR,GURU TEG BAHADUR NAGAR,LN2,639ac2e6e264aca1c1ecdff6,GTBR,GURU TEG BAHADUR NAGAR,,GURU TEG BAHADUR NAGAR,LN2,28.6984,77.2059
haiderpur-badli-mor,HAIDERPUR BADLI MOR,,matched,code,50,BIMR,HAIDERPUR BADLI MOR,LN2|LN8EXTN,639ac2e6e264aca1c1ecdff8,BIMR,HAIDERPUR BADLI MOR,,HAIDERPUR BADLI MOR,LN2,28.73,77.1492
haiderpur-village,HAIDERPUR VILLAGE,NORTH PITAMPURA,matched,code,275,NPPR,NORTH PITAMPURA,LN8EXTN,69ad8de4c162e4b8ee086e21,NPPR,HAIDERPUR VILLAGE,HAIDERPUR VILLAGE,HAIDERPUR VILLAGE,LN8,28.5703764,77.1843847
harkesh-nagar-okhla,HARKESH NAGAR OKHLA,,matched,code,123,HNOK,HARKESH NAGAR OKHLA,LN6,639ac2e6e264aca1c1ecdff9,HNOK,HARKESH NAGAR OKHLA,,HARKESH NAGAR OKHLA,LN6,28.5429658,77.273094
hauz-khas,HAUZ KHAS,,matched,code,61,HKS,HAUZ KHAS,LN2|LN8,639ac2e6e264aca1c1ecdffa,HKS,HAUZ KHAS,SIDBI HAUZ KHAS,HAUZ KHAS,"LN2,LN8",28.544,77.2062
hindon-river,HINDON RIVER,,matched,code,65,HDNR,HINDON RIVER,LN1,639ac2e6e264aca1c1ecdffb,HDNR,HINDON RIVER,,HINDON RIVER,LN1,28.6734,77.4065
i-p-extension,I.P. EXTENSION,,matched,code,183,IPE,I.P. EXTENSION,LN7,639ac2e6e264aca1c1ecdffe,IPE,I.P. EXTENSION,,I.P. EXTENSION,LN7,28.6319356,77.3085679
iffco-chowk,IFFCO CHOWK,,matched,code,46,IFOC,IFFCO CHOWK,LN2,639ac2e6e264aca1c1ecdfff,IFOC,IFFCO CHOWK,,IFFCO CHOWK,LN2,28.4722,77.0724
iit,IIT,,matched,code,153,IIT,IIT,LN8,639ac2e6e264aca1c1ecdffd,IIT,IIT,,IIT,LN8,28.547199,77.1916283
inderlok,INDERLOK,,matched,code,92,ILOK,INDERLOK,LN1|LN5,639ac2e6e264aca1c1ece000,ILOK,INDERLOK,,INDERLOK,"LN1,LN5",28.6736,77.1703
indraprastha,INDRAPRASTHA,,matched,code,213,IDPT,INDRAPRASTHA,LN3,639ac2e6e264aca1c1ece001,IDPT,INDRAPRASTHA,,INDRAPRASTHA,LN3,28.6206,77.25
ito,ITO,,matched,code,19,ITO,ITO,LN6,639ac2e6e264aca1c1ece002,ITO,ITO,JK Tyre ITO,ITO,LN6,28.6278305,77.240214
jafrabad,JAFRABAD,,matched,code,187,JFRB,JAFRABAD,LN7,639ac2e6e264aca1c1ece003,JFRB,JAFRABAD,,JAFRABAD,LN7,28.6827585,77.2725587
jagatpur-wazirabad,JAGATPUR-WAZIRABAD,,matched,code,269,JPVE,JAGATPUR-WAZIRABAD,LN7,69ad8de4c162e4b8ee086e1c,JPVE,JAGATPUR- WAZIRABAD,JAGATPUR- WAZIRABAD,JAGATPUR- WAZIRABAD,LN7,28.5703764,77.1843847
jahangirpuri,JAHANGIRPURI,,matched,code,51,JGPI,JAHANGIRPURI,LN2,639ac2e6e264aca1c1ece004,JGPI,JAHANGIRPURI,,JAHANGIRPURI,LN2,28.7296,77.1666
jama-masjid,JAMA MASJID,,matched,code,17,JAMD,JAMA MASJID,LN6,639ac2e6e264aca1c1ece005,JAMD,JAMA MASJID,,JAMA MASJID,LN6,28.6504603,77.2362374
jamia-millia-islamia,JAMIA MILLIA ISLAMIA,,matched,code,145,JANR,JAMIA MILLIA ISLAMIA,LN8,639ac2e6e264aca1c1ece006,JANR,JAMIA MILLIA ISLAMIA,JAMIA MILLIA ISLAMIA,JAMIA MILLIA ISLAMIA,LN8,28.5627144,77.2857862
janak-puri-east,JANAK PURI EAST,JANAKPURI EAST,matched,code,227,JPE,JANAKPURI EAST,LN3,639ac2e6e264aca1c1ece007,JPE,JANAK PURI EAST,,JANAK PURI EAST,LN3,28.6328,77.0862
janak-puri-west,JANAK PURI WEST,JANAKPURI WEST,matched,code,228,JPW,JANAKPURI WEST,LN3|LN8,639ac2e6e264aca1c1ece008,JPW,JANAK PURI WEST,,JANAK PURI WEST,"LN3,LN8",28.6295,77.0778
jangpura,JANGPURA,,matched,code,117,JGPA,JANGPURA,LN6,639ac2e6e264aca1c1ece009,JGPA,JANGPURA,,JANGPURA,LN6,28.583698,77.2362473
janpath,JANPATH,,matched,code,114,JNPH,JANPATH,LN6,639ac2e6e264aca1c1ece00a,JNPH,JANPATH,JANPATH,JANPATH,LN6,28.625061,77.2169953
jasola-apollo,JASOLA-APOLLO,,matched,code,124,JLA,JASOLA-APOLLO,LN6,639ac2e6e264aca1c1ece00c,JLA,JASOLA-APOLLO,,JASOLA-APOLLO,LN6,28.5382066,77.2811108
jasola-vihar-shaheen-bagh,JASOLA VIHAR SHAHEEN BAGH,,matched,code,143,JLA8,JASOLA VIHAR SHAHEEN BAGH,LN8,639ac2e6e264aca1c1ece00b,JLA8,JASOLA VIHAR SHAHEEN BAGH,,JASOLA VIHAR SHAHEEN BAGH,LN8,28.5462285,77.2943212
jhandewalan,JHANDEWALAN,,matched,code,216,JW,JHANDEWALAN,LN3,639ac2e6e264aca1c1ece00d,JW,JHANDEWALAN,,JHANDEWALAN,LN3,28.6443,77.1999
jharoda-majra,JHARODA MAJRA,,matched,name,270,JRMR,JHARODA MAJRA,LN7,69ad8de4c162e4b8ee086e1a,JRMJ,JHARODA MAJRA,JHARODA MAJRA,JHARODA MAJRA,LN7,28.5703764,77.1843847
jhilmil,JHILMIL,,matched,code,73,JLML,JHILMIL,LN1,639ac2e6e264aca1c1ece00e,JLML,JHILMIL,,JHILMIL,LN1,28.6758,77.3124
jln-stadium,JLN STADIUM,,matched,code,116,JLNS,JLN STADIUM,LN6,639ac2e6e264aca1c1ece00f,JLNS,JLN STADIUM,,JLN STADIUM,LN6,28.587146,77.2310163
johri-enclave,JOHRI ENCLAVE,,matched,code,190,JIEE,JOHRI ENCLAVE,LN7EXTN,639ac2e6e264aca1c1ece010,JIEE,JOHRI ENCLAVE,,JOHRI ENCLAVE,LN7,28.714627,77.2866533
jor-bagh,JOR BAGH,,matched,code,32,JB,JOR BAGH,LN2,639ac2e6e264aca1c1ece011,JB,JOR BAGH,,JOR BAGH,LN2,28.5859,77.2125
kailash-colony,KAILASH COLONY,,matched,code,120,KHCY,KAILASH COLONY,LN6,639ac2e6e264aca1c1ece012,KHCY,KAILASH COLONY,,KAILASH COLONY,LN6,28.55554,77.2394585
kalindi-kunj,KALINDI KUNJ,,matched,code,142,KIKJ,KALINDI KUNJ,LN8,639ac2e6e264aca1c1ece013,KIKJ,KALINDI KUNJ,,KALINDI KUNJ,LN8,28.543,77.30968
kalkaji-mandir,KALKAJI MANDIR,,matched,code,148,KJMD,KALKAJI MANDIR,LN6|LN8,639ac2e6e264aca1c1ece014,KJMD,KALKAJI MANDIR,,KALKAJI MANDIR,"LN6,LN8",28.54945,77.2570313
kanhaiya-nagar,KANHAIYA NAGAR,,matched,code,83,KN,KANHAIYA NAGAR,LN1,639ac2e6e264aca1c1ece015,KN,KANHAIYA NAGAR,,KANHAIYA NAGAR,LN1,28.6824,77.1648
karkarduma,KARKARDUMA,,matched,code,194,KKDA,KARKARDUMA,LN4|LN7,639ac2e6e264aca1c1ece016,KKDA,KARKARDUMA,KARKARDUMA,KARKARDUMA,"LN4,LN7",28.6485,77.3056
karkarduma-court,KARKARDUMA COURT,,matched,code,184,KKDC,KARKARDUMA COURT,LN7,639ac2e6e264aca1c1ece017,KKDC,KARKARDUMA COURT,,KARKARDUMA COURT,LN7,28.6450398,77.3042615
karol-bagh,KAROL BAGH,,matched,code,217,KB,KAROL BAGH,LN3,639ac2e6e264aca1c1ece018,KB,KAROL BAGH,Karol Bagh Manyavar,KAROL BAGH,LN3,28.644,77.1885
kashmere-gate,KASHMERE GATE,,matched,code,21,KG,KASHMERE GATE,LN1|LN2|LN6,639ac2e6e264aca1c1ece019,KG,KASHMERE GATE,KASHMERE GATE,KASHMERE GATE,"LN1,LN2,LN6",28.6675,77.2282
kaushambi,KAUSHAMBI,,matched,code,192,KSHI,KAUSHAMBI,LN4,639ac2e6e264aca1c1ece01a,KSHI,KAUSHAMBI,,KAUSHAMBI,LN4,28.6455,77.3244
keshav-puram,KESHAV PURAM,,matched,code,84,KP,KESHAV PURAM,LN1,639ac2e6e264aca1c1ece01b,KP,KESHAV PURAM,,KESHAV PURAM,LN1,28.6876,77.1625
khajuri-khas,KHAJURI KHAS,,matched,code,267,KJKS,KHAJURI KHAS,LN7,69ad8de4c162e4b8ee086e18,KJKS,KHAJURI KHAS,KHAJURI KHAS,KHAJURI KHAS,LN7,28.5703764,77.1843847
khan-market,KHAN MARKET,,matched,code,115,KM,KHAN MARKET,LN6,639ac2e6e264aca1c1ece01c,KM,KHAN MARKET,,KHAN MARKET,LN6,28.6009531,77.2252085
kirti-nagar,KIRTI NAGAR,,matched,code,91,KNR,KIRTI NAGAR,LN3|LN5,639ac2e6e264aca1c1ece01d,KNR,KIRTI NAGAR,,KIRTI NAGAR,"LN3,LN5",28.6557,77.1508
kohat-enclave,KOHAT ENCLAVE,,matched,code,86,KE,KOHAT ENCLAVE,LN1,639ac2e6e264aca1c1ece01e,KE,KOHAT ENCLAVE,,KOHAT ENCLAVE,LN1,28.698,77.1405
krishna-nagar,KRISHNA NAGAR,,matched,code,185,KHNA,KRISHNA NAGAR,LN7,639ac2e6e264aca1c1ece01f,KHNA,KRISHNA NAGAR,,KRISHNA NAGAR,LN7,28.6575316,77.2885172
krishna-park-extension,KRISHNA PARK EXTENSION,,matched,name,263,KPEN,KRISHNA PARK EXTENSION,LN8,677ab6e474dd89fee64f211c,KPE,KRISHNA PARK EXTENSION,KRISHNA PARK EXTENSION,"KRISHNA PARK EXTENSION, KRISHNA PARK",LN8,28.648399,77.084688
lajpat-nagar,LAJPAT NAGAR,,matched,code,118,LJPN,LAJPAT NAGAR,LN6|LN7,639ac2e6e264aca1c1ece020,LJPN,LAJPAT NAGAR,Bureau of Energy Efficiency Lajpat Nagar,LAJPAT NAGAR,"LN6,LN7",28.5706249,77.2342561
lal-quila,LAL QUILA,,matched,code,16,LLQA,LAL QUILA,LN6,639ac2e6e264aca1c1ece021,LLQA,LAL QUILA,,LAL QUILA,LN6,28.6577564,77.2347368
laxmi-nagar,LAXMI NAGAR,,matched,code,197,LN,LAXMI NAGAR,LN4,639ac2e6e264aca1c1ece022,LN,LAXMI NAGAR,LAXMI NAGAR TECNO,LAXMI NAGAR,LN4,28.6305,77.2773
lok-kalyan-marg,LOK KALYAN MARG,,matched,code,31,LKM,LOK KALYAN MARG,LN2,639ac2e6e264aca1c1ece023,LKM,LOK KALYAN MARG,LOK KALYAN MARG,LOK KALYAN MARG,LN2,28.5977,77.2112
m-g-road,M.G. ROAD,,matched,code,45,MGRO,M.G. ROAD,LN2,639ac2e6e264aca1c1ece032,MGRO,M.G. ROAD,SYSKA MG ROAD,M.G. ROAD,LN2,28.4796,77.0801
madhuban-chowk,MADHUBAN CHOWK,MADHUBAN CHOWK (Formerly PITAMPURA)|MADHUBAN CHOWK (earlier PITAMPURA),matched,code,87,PTP,MADHUBAN CHOWK (earlier PITAMPURA),LN1|LN8EXTN,639ac2e6e264aca1c1ece05e,PTP,MADHUBAN CHOWK (Formerly PITAMPURA),MADHUBAN CHOWK,PITAMPURA,"LN1,LN8",28.7031,77.1325
madipur,MADIPUR,,matched,code,97,MAPR,MADIPUR,LN5,639ac2e6e264aca1c1ece024,MAPR,MADIPUR,,MADIPUR,LN5,28.67634,77.1175513
maharaja-surajmal-stadium,MAHARAJA SURAJMAL STADIUM,,matched,code,102,SMSM,MAHARAJA SURAJMAL STADIUM,LN5,639ac2e6e264aca1c1ece025,SMSM,MAHARAJA SURAJMAL STADIUM,,MAHARAJA SURAJMAL STADIUM,LN5,28.68182,77.0717713
majlis-park,MAJLIS PARK,,matched,code,163,MKPR,MAJLIS PARK,LN7|LN8EXTN,639ac2e6e264aca1c1ece026,MKPR,MAJLIS PARK,MAJLIS PARK,MAJLIS PARK,LN7,28.724167,77.1805273
major-mohit-sharma-rajendra-nagar,MAJOR MOHIT SHARMA RAJENDRA NAGAR,,matched,code,69,RJNM,MAJOR MOHIT SHARMA RAJENDRA NAGAR,LN1,639ac2e6e264aca1c1ece027,RJNM,MAJOR MOHIT SHARMA RAJENDRA NAGAR,,MAJOR MOHIT SHARMA RAJENDRA NAGAR,LN1,28.6776,77.3581
malviya-nagar,MALVIYA NAGAR,,matched,code,36,MVNR,MALVIYA NAGAR,LN2,639ac2e6e264aca1c1ece028,MVNR,MALVIYA NAGAR,,MALVIYA NAGAR,LN2,28.529,77.205
mandawali-west-vinod-nagar,MANDAWALI-WEST VINOD NAGAR,,matched,code,182,VNNR,MANDAWALI - WEST VINOD NAGAR,LN7,639ac2e6e264aca1c1ece029,VNNR,MANDAWALI - WEST VINOD NAGAR,,MANDAWALI - WEST VINOD NAGAR,LN7,28.624877,77.3021833
mandi-house,MANDI HOUSE,,matched,code,24,MDHS,MANDI HOUSE,LN3|LN6,639ac2e6e264aca1c1ece02a,MDHS,MANDI HOUSE,,MANDI HOUSE,"LN3,LN6",28.6259,77.2343
mansarovar-park,MANSAROVAR PARK,,matched,code,74,MPK,MANSAROVAR PARK,LN1,639ac2e6e264aca1c1ece02b,MPK,MANSAROVAR PARK,,MANSAROVAR PARK,LN1,28.6756,77.3001
maujpur-babarpur,MAUJPUR-BABARPUR,,matched,code,188,MUPR,MAUJPUR-BABARPUR,LN7|LN7EXTN,639ac2e6e264aca1c1ece02c,MUPR,MAUJPUR-BABARPUR,,MAUJPUR-BABARPUR,LN7,28.6921031,77.2774233
mayapuri,MAYAPURI,,matched,code,168,MYPI,MAYAPURI,LN7,639ac2e6e264aca1c1ece02d,MYPI,MAYAPURI,,MAYAPURI,LN7,28.637099,77.1275523
mayur-vihar-extension,MAYUR VIHAR EXTENSION,,matched,code,209,MVE,MAYUR VIHAR EXTENSION,LN3,639ac2e6e264aca1c1ece02e,MVE,MAYUR VIHAR EXTENSION,,MAYUR VIHAR EXTENSION,LN3,28.5928,77.2947
mayur-vihar-i,MAYUR VIHAR-I,,matched,code,210,MVP1,MAYUR VIHAR -I,LN3|LN7,639ac2e6e264aca1c1ece02f,MVP1,MAYUR VIHAR -I,,MAYUR VIHAR -I,"LN3,LN7",28.6042,77.2896
mewala-maharajpur,MEWALA MAHARAJPUR,,matched,code,131,MMJR,MEWALA MAHARAJPUR,LN6,639ac2e6e264aca1c1ece031,MMJR,MEWALA MAHARAJPUR,,MEWALA MAHARAJPUR,LN6,28.4484907,77.3054333
millennium-city-centre-gurugram,MILLENNIUM CITY CENTRE GURUGRAM,,matched,code,47,HCC,MILLENNIUM CITY CENTRE GURUGRAM,LN2,639ac2e6e264aca1c1ecdffc,HCC,MILLENNIUM CITY CENTRE GURUGRAM,PNB HUDA CITY CENTRE,"MILLENNIUM CITY CENTRE GURUGRAM, HUDA CITY CENTRE, HUDA",LN2,28.4592,77.0725
model-town,MODEL TOWN,,matched,code,54,MDTW,MODEL TOWN,LN2,639ac2e6e264aca1c1ece033,MDTW,MODEL TOWN,,MODEL TOWN,LN2,28.7029,77.1937
mohan-estate,MOHAN ESTATE,,matched,code,126,METE,MOHAN ESTATE,LN6,639ac2e6e264aca1c1ece034,METE,MOHAN ESTATE,,MOHAN ESTATE,LN6,28.514454,77.2902056
mohan-nagar,MOHAN NAGAR,,matched,code,67,MNGM,MOHAN NAGAR,LN1,639ac2e6e264aca1c1ece035,MNGM,MOHAN NAGAR,,MOHAN NAGAR,LN1,28.6785,77.3839
moolchand,MOOLCHAND,,matched,code,119,MLCD,MOOLCHAND,LN6,639ac2e6e264aca1c1ece036,MLCD,MOOLCHAND,,MOOLCHAND,LN6,28.5647817,77.2309781
moti-nagar,MOTI NAGAR,,matched,code,221,MN,MOTI NAGAR,LN3,639ac2e6e264aca1c1ece037,MN,MOTI NAGAR,,MOTI NAGAR,LN3,28.6579,77.1427
moulsari-avenue,MOULSARI AVENUE,,matched,code,252,MAL,MOULSARI AVENUE,LN11,639ac2e6e264aca1c1ece038,MAL,MOULSARI AVENUE,MOULSARI AVENUE,MOULSARI AVENUE,LN11,28.4997,77.0939
mundka,MUNDKA,,matched,code,106,MUDK,MUNDKA,LN5,639ac2e6e264aca1c1ece039,MUDK,MUNDKA,,MUNDKA,LN5,28.68239,77.0281513
mundka-industrial-area-mia,MUNDKA INDUSTRIAL AREA (MIA),,matched,code,107,MIAA,MUNDKA INDUSTRIAL AREA (MIA),LN5,639ac2e6e264aca1c1ece03a,MIAA,MUNDKA INDUSTRIAL AREA (MIA),,MUNDKA INDUSTRIAL AREA (MIA),LN5,28.6822749,77.0146522
munirka,MUNIRKA,,matched,code,155,MIRK,MUNIRKA,LN8,639ac2e6e264aca1c1ece03b,MIRK,MUNIRKA,,MUNIRKA,LN8,28.5567549,77.1719806
